ncl,ra,dec,vlsr,maj,min,pa,r,delta r,fwhm,delta vel disp,lco,delta l,mvir,delta mvir,nvox,tpk
C1,71.709,-67.306,252.6,10.6,4.8,109,6.3,0.61,1.2,0.4,8.3,0.47,9400,1100,76,1.03
C2,71.721,-67.226,249.4,11.2,7.8,163,15.2,0.38,1.33,0.21,27.6,0.15,28100,630,273,1.4
C3,71.757,-67.181,247.9,10.8,6.7,136,13.1,0.57,1.2,0.32,16,0.45,19500,860,95,1.3
C4,71.791,-67.157,265.4,5.9,5.3,126,5.9,1.39,0.47,1.16,3.6,1.14,1400,2690,32,0.74
C5,71.798,-67.116,261.9,14.5,5.8,97,13.2,0.4,0.59,0.36,10.5,0.25,4800,950,79,1.44
C6,71.819,-67.218,250.4,14,5.8,145,13,0.58,1.73,0.33,21,0.61,40600,900,100,1.05
C7,71.845,-69.165,240,17.8,7.5,112,19.2,0.14,0.8,0.13,52.9,0.07,12900,290,410,2.78
C8,71.859,-67.237,255.9,14.2,6.9,169,16,0.64,1.66,0.47,37.1,0.82,46000,1070,112,1.45
C9,71.861,-67.195,259,9.3,4.4,172,,,1.55,0.27,37.4,0.31,0,0,141,1.91
C10,71.906,-67.209,256.9,7.6,5.7,42,8.6,1.17,1.19,0.46,28.3,0.51,12600,1580,80,1.85
C11,71.945,-69.207,238.6,12.7,6,9,12.9,0.4,1.07,0.39,17.6,0.44,15400,940,83,1.77
C12,71.971,-67.214,265,15.7,5.3,146,12,0.24,1.08,0.15,34.5,0.1,14500,410,325,2.09
C13,71.982,-67.351,256.9,14.3,8.1,20,18.1,0.52,1.72,0.71,26.8,0.44,55600,1730,121,1.22
C14,72.03,-67.325,258.3,7.3,5.8,116,8.5,0.82,1.14,0.48,11.3,0.45,11500,1410,68,1.5
C15,72.045,-67.291,257.8,5.4,2.4,99,,,1,0.78,6.3,0.49,0,0,41,1.24
C16,72.221,-69.165,239.8,10.7,6.5,142,12.6,0.54,1.43,0.26,53.5,0.22,26900,850,182,2.74
C17,72.236,-69.19,238.8,7.1,2.3,31,,,1.1,0.78,28,1.35,0,0,26,1.77
C18,72.237,-68.373,250.9,15.9,8.9,162,20.6,0.26,2.11,0.14,58.7,0.17,95400,390,401,2.13
C19,72.249,-68.609,247.2,13.2,6.8,48,14.9,1.11,1.43,0.83,45.7,0.91,31500,1940,36,2.62
C20,72.253,-69.209,240.6,9.6,7.5,180,13.4,0.44,0.53,0.53,22.5,0.43,4000,1070,82,2.33
C21,72.285,-68.097,253.1,4.8,4.7,169,2.1,1.81,0.79,0.43,3.6,0.49,1400,2010,35,1.25
C22,72.306,-69.137,240.5,10.1,7.3,78,13.7,0.47,0.93,0.39,14.7,0.24,12200,980,98,1.87
C23,72.311,-68.431,247.7,16.5,11.6,152,24.8,0.19,1.88,0.17,89.6,0.17,91100,450,346,2.51
C24,72.313,-68.586,248.2,12.3,8.8,2,17.7,0.82,0.72,0.93,42.1,1.02,9500,1970,43,2.44
C25,72.334,-68.552,250.6,8.5,5.9,71,9.8,0.93,1.07,0.37,12.3,0.32,11600,1240,95,1.2
C26,72.346,-68.115,253.3,5.6,2.8,70,,,1.85,0.26,15.4,0.26,0,0,135,1.17
C27,72.356,-68.526,249.6,7.9,2.8,21,,,0.49,0.98,4.4,0.99,0,0,22,1.56
C28,72.363,-68.144,247.5,6.8,7.8,25,10.7,0.87,1.07,0.62,9.9,0.51,12700,1640,61,1.01
C29,72.377,-69.2,241.7,23.9,8.6,122,24.9,0.18,1.65,0.21,41.6,0.14,70400,490,300,2
C30,72.378,-68.486,248.3,13.1,6.6,169,14.6,0.24,1.48,0.15,62.5,0.14,33400,400,356,2.54
C31,72.392,-68.426,250.3,5.9,5.2,36,5.7,1.38,0.53,0.72,6.5,1.17,1700,2280,31,1.73
C32,72.4,-68.368,250,15.2,7.5,52,17.7,0.26,1.87,0.1,111.5,0.07,64200,360,571,3.57
C33,72.513,-68.42,249.2,20.9,7.1,139,20,0.16,1.22,0.14,65.7,0.06,30900,360,451,3.49
C34,72.524,-69.547,241.4,8.8,3.4,5,,,1.52,0.64,12.4,0.64,0,0,39,1.52
C35,72.552,-69.192,242.3,5.4,4.6,162,,,1.43,0.6,6.9,0.66,0,0,52,1.01
C36,72.601,-69.513,242.1,15.1,5,38,10,0.29,1.02,0.24,22.9,0.15,10800,560,178,2.21
C37,72.623,-69.343,237.7,13.4,3.4,44,,,1.44,0.74,12.9,0.54,0,0,60,1.01
C38,72.627,-69.21,238.4,4.7,3.4,68,,,0.74,0.33,6.5,0.27,0,0,58,1.68
C39,72.71,-69.317,236.4,10.5,6.3,107,12.1,0.36,1.02,0.27,46.6,0.3,13200,600,113,3.49
C40,72.774,-69.315,234,11.7,4.8,38,7.3,0.71,0.81,0.51,23.1,0.99,5000,1250,37,2.14
C41,72.816,-67.037,275.2,9.2,8.2,142,14.1,0.58,1.24,0.2,21.7,0.21,22500,750,216,1.65
C42,72.965,-67.187,276.6,10.5,3.2,33,,,1.28,0.43,30.7,0.68,0,0,83,1.73
C43,72.969,-67.05,275.4,26.7,11.6,139,31.9,0.2,2.46,0.19,70.9,0.15,200900,520,341,3.42
C44,72.979,-69.381,232.9,14.7,10.1,163,21.4,0.2,2.21,0.07,128.9,0.04,108600,230,1150,4.27
C45,72.99,-67.096,274.4,12.8,6.2,110,13.5,0.39,0.89,0.27,31.9,0.21,11200,570,160,1.81
C46,73.003,-67.013,271.3,9,5,13,7.5,0.69,1.37,0.33,14.8,0.26,14600,990,131,1.42
C47,73.018,-66.861,278.5,9.9,5.5,87,9.7,0.69,1.46,0.39,11.7,0.26,21600,970,84,1.19
C48,73.031,-67.161,274.6,19.8,2.2,28,,,1.06,0.47,45.9,0.64,0,0,66,2.63
C49,73.038,-67.239,277.9,10.3,8.1,6,15,0.45,0.74,0.32,23.7,0.35,8500,880,121,2.3
C50,73.044,-66.919,275.2,14.9,10.4,86,22,0.22,2.99,0.08,94.1,0.04,204900,280,950,2.79
C51,73.048,-67.289,274.4,13.3,4.9,66,8.6,0.37,1.24,0.23,24.1,0.17,13900,620,240,1.43
C52,73.065,-66.983,274.7,8.5,6.5,130,10.9,0.62,1.9,0.11,53.8,0.07,40900,640,471,2.77
C53,73.075,-67.252,276.1,6.3,3.8,19,,,1.51,0.74,5,0.81,0,0,16,1.28
C54,73.102,-69.35,236.6,3.6,3.8,160,,,1.13,0.59,5,0.5,0,0,40,1.49
C55,73.107,-69.211,247.3,5,5.3,128,4.2,1.39,1.11,0.57,10.4,0.49,5400,1870,66,1.09
C56,73.181,-69.193,246.6,6.5,4.5,143,,,2.86,0.18,23.6,0.11,0,0,209,2.52
C57,73.232,-68.076,267.3,12.2,6.1,175,12.7,0.55,1.86,0.75,38.3,0.78,45900,1680,36,2.25
C58,73.244,-68.057,269.4,7.8,11.2,6,15.3,0.78,2.08,1.01,41.3,1.09,69200,2160,21,2.85
C59,73.258,-68.096,264.9,8.9,7.1,91,12.3,0.85,1.8,0.68,55.7,0.91,41500,1620,30,2.15
C60,73.281,-69.161,249.6,8.4,7,112,11.6,0.51,1.11,0.32,21.4,0.22,14900,870,119,1.99
C61,73.376,-69.175,248.9,8.6,6.2,16,10.5,1.09,1.44,0.77,37.2,0.73,22800,2090,63,1.66
C62,73.377,-69.122,249.7,5.6,5.1,5,4.8,1.07,0.78,0.34,8.3,0.28,3100,1300,64,2.09
C63,73.448,-69.162,245.6,8.9,7.4,84,12.7,0.49,1.79,0.22,81.7,0.27,42100,630,292,2.44
C64,73.478,-69.124,247.8,19.3,10.2,136,25,0.39,0.44,0.73,30.6,0.53,5100,1480,73,1.96
C65,73.512,-69.189,244.6,10.5,8.4,35,15.5,0.49,1.77,0.37,71.5,0.3,50600,830,173,2.92
C66,73.537,-69.084,249.3,8.3,3.5,145,,,0.84,0.81,5.5,0.77,0,0,38,0.87
C67,73.543,-69.148,243,17.9,5.5,154,13.8,0.65,1.63,0.58,30.9,0.76,38000,1350,83,1.41
C68,73.6,-69.49,232.8,8,5.8,44,9.1,0.43,1.2,0.23,17.5,0.2,13500,640,156,1.78
C69,73.606,-69.491,237.7,9.1,3.4,68,,,1.51,0.33,13.1,0.33,0,0,89,1.7
C70,73.608,-69.177,243.1,7.1,7.1,60,10.3,1.07,1.36,0.49,23.7,0.6,19800,1400,47,2
C71,73.622,-69.158,238.9,9.9,5.6,40,10.2,0.65,0.74,0.5,4.5,0.79,5700,1300,48,0.83
C72,73.683,-69.137,245.9,7.6,4.9,44,6,0.91,0.76,0.74,2.8,0.85,3600,1500,31,1.03
C73,73.856,-66.568,270.1,6.1,3.8,171,,,0.89,0.58,7.8,0.3,0,0,72,1.13
C74,73.883,-66.487,280.1,10.9,7.2,162,14,0.51,1.38,0.31,35.9,0.27,28000,750,217,1.66
C75,73.884,-68.498,261.9,6.8,4.2,133,,,0.91,0.55,4.2,0.59,0,0,28,1.16
C76,73.888,-68.522,258.2,12.8,5.1,61,9.9,0.4,1.25,0.31,22.8,0.29,16200,790,183,1.35
C77,73.899,-66.535,284.1,8.9,5.7,148,9.7,0.72,0.93,0.42,20.4,0.43,8800,1060,104,2.03
C78,73.906,-66.47,276,7.2,6.1,34,8.9,0.85,1.17,0.25,18.4,0.26,12700,1040,124,2.09
C79,73.911,-66.569,278.8,11,7.3,111,14.3,0.49,2.39,0.11,70.6,0.1,84700,560,410,3.4
C80,74.063,-66.626,277.5,13.1,8.2,55,17.5,0.52,1.34,0.39,76.3,0.48,32800,1040,112,2.88
C81,74.074,-66.605,280.4,10.8,4.4,125,,,0.42,1.41,19.7,1,0,0,23,2.67
C82,74.122,-66.535,276.6,6.7,4.3,124,,,0.66,0.51,6.7,0.56,0,0,59,1.59
C83,74.166,-66.541,268.8,4.5,5,77,,,1.28,0.47,10.1,0.56,0,0,59,1.32
C84,74.188,-66.392,292.9,3.8,2.7,38,,,1.99,0.66,4,0.6,0,0,43,1.22
C85,74.215,-66.405,283.5,9.8,4.9,92,7.5,0.7,4.25,0.1,40.6,0.08,140300,750,395,2.11
C86,74.272,-66.39,285.7,5.2,2.6,82,,,1.89,0.51,4.8,0.6,0,0,53,0.84
C87,74.277,-69.19,236.7,14.3,9.7,10,20.5,0.17,1.72,0.1,65.7,0.09,63500,290,517,2.4
C88,74.313,-68.437,258.3,12.3,8.9,4,17.7,0.29,1.6,0.2,35.3,0.16,47000,470,284,1.77
C89,74.319,-66.3,279,20.8,6.3,160,17.8,0.32,2.17,0.19,29.6,0.14,87300,580,262,1.64
C90,74.32,-66.394,277.2,5.8,3,177,,,1.09,0.75,7.5,0.96,0,0,45,1.66
C91,74.326,-68.939,258.6,16.6,6.5,139,16.3,0.2,1.67,0.14,42.1,0.14,47500,330,396,1.85
C92,74.338,-66.46,268.4,6.3,3.7,144,,,1.36,0.48,4.3,0.62,0,0,50,0.87
C93,74.341,-66.38,279.1,14.4,2.2,65,,,0.65,1.43,12.4,1.39,0,0,32,1.33
C94,74.348,-66.36,282.8,5.2,6.4,33,6.1,1.34,1.74,0.29,7.7,0.55,19200,1420,73,1.27
C95,74.355,-68.899,263,7.2,4.7,118,3.5,1,0.75,0.62,6.3,0.54,2100,1750,50,1.3
C96,74.417,-66.443,280,15.4,6.4,172,15.5,0.5,1.5,0.39,28,0.4,36400,900,104,1.28
C97,74.459,-66.307,285.2,6.2,3.8,56,,,1.84,0.21,14.2,0.24,0,0,155,1.51
C98,74.46,-66.489,279.1,13.1,5,159,9.3,0.36,3.18,0.14,71.3,0.07,97900,520,522,3.11
C99,74.477,-66.343,274.5,5.4,4.5,13,,,1.71,0.32,9.5,0.49,0,0,60,1.41
C100,74.492,-66.344,267.5,11.5,9.1,91,17.3,0.66,1.21,0.81,26.2,0.69,26400,1750,72,1.83
C101,74.505,-66.279,278.6,5.2,4.4,162,,,0.96,0.66,2.5,0.59,0,0,38,1.02
C102,74.53,-66.318,271,11.5,4.4,27,,,1.31,0.25,45.2,0.28,0,0,132,2.55
C103,74.553,-66.17,279.6,7.2,4.8,141,5,1.12,0.73,0.57,4,0.74,2800,1750,40,0.83
C104,74.566,-66.295,270.3,7.7,6.8,77,10.7,1.1,1.54,0.58,26.9,0.82,26300,1800,72,1.74
C105,74.574,-66.187,275.8,12.2,6.6,49,13.9,0.52,0.71,0.5,10.3,0.59,7300,1150,85,0.84
C106,74.615,-66.271,273.6,8,6.2,51,10,0.95,1.85,0.39,15.4,0.38,35300,1480,82,1.06
C107,74.669,-66.258,283.8,6,4.3,155,,,0.98,0.42,7.8,0.17,0,0,83,1.74
C108,74.671,-66.254,276.7,18.5,6,172,15.7,0.25,1.42,0.17,31.9,0.14,32900,380,291,1.48
C109,74.676,-66.362,272.3,5.6,5.3,72,5.4,1.38,1.43,0.4,5.9,0.35,11500,1640,57,1.39
C110,74.685,-66.139,276.4,7,5.6,41,7.9,1.1,1.52,0.26,41.7,0.29,19000,1190,119,2.94
C111,74.715,-66.163,278.5,10.6,3.4,136,,,1.75,0.74,31.1,1.47,0,0,50,1.54
C112,74.721,-66.122,274.6,13.3,30,,,0.77,1.12,,37.6,0.9,0,0,24,3.07
C113,74.744,-66.223,280.7,9.7,7.5,159,13.6,0.4,0.84,0.16,22.2,0.1,10000,510,257,1.95
C114,74.762,-66.275,281.6,6.4,6.4,47,8.4,1.05,1.66,0.4,8.7,0.67,24100,1470,56,1.31
C115,74.781,-66.295,278.6,23.6,4.8,129,9.6,0.36,1.22,0.45,27.5,0.36,14800,1000,57,1.84
C116,74.821,-66.312,282,15.9,4.6,102,2.9,1.37,1.3,1.19,26.5,1.27,5200,2690,13,2.01
C117,74.839,-66.363,279.8,6.6,3.6,160,,,0.73,0.38,2.2,0.28,0,0,35,1.18
C118,74.86,-66.336,281.8,11.2,5.7,148,11.2,0.73,1.31,0.47,39.1,0.44,20200,1070,79,2.51
C119,74.915,-66.374,280.6,10,5.1,137,8.3,0.69,1.19,0.57,10.2,0.42,12300,1340,73,2.02
C120,74.992,-66.213,278.4,7.7,44,,,0.51,1.11,,4.3,0.93,0,0,34,1.23
C121,75.015,-66.268,275.3,6,2.1,18,,,1.2,0.24,8.1,0.34,0,0,77,1.47
C122,75.144,-66.298,271.1,10.2,4.2,134,,,0.73,0.5,6.9,0.37,0,0,48,1.07
C123,75.186,-66.377,276.2,17.5,9.9,162,23.3,0.19,0.98,0.1,57.6,0.06,23500,300,577,2.36
C124,75.257,-66.35,277,4.9,5.2,73,3.8,1.17,0.56,0.53,5,0.5,1200,1620,41,1.52
C125,75.748,-65.887,279.8,5.9,9.5,69,10.6,1.18,1.02,1.03,22.2,0.98,11500,2580,36,1.66
C126,75.779,-65.898,277.6,6.9,3.6,57,,,0.95,0.85,13.1,1.07,0,0,24,1.78
C127,75.795,-65.907,280.5,10.2,4.6,166,3,1.15,0.92,0.7,11.9,1.09,2700,1750,48,1.05
C128,75.843,-67.252,274.3,5.4,3.8,98,,,0.69,0.56,3.6,0.93,0,0,31,1.1
C129,75.856,-66.722,281,11.9,4.7,101,5.4,0.93,0.89,1.52,24.6,0.88,4500,3330,24,2.06
C130,75.875,-67.174,271.3,6,2.1,0,,,0.66,0.85,5.5,1.02,0,0,22,1.22
C131,75.877,-67.374,275.7,12.3,5.2,3,9.8,0.69,0.88,0.66,14,0.64,7800,1640,64,1.05
C132,75.889,-67.185,274.4,13.4,9.1,31,19,0.26,1.38,0.22,49.5,0.17,37800,540,332,2.15
C133,75.908,-67.354,270.2,13.4,5.4,2,11.5,0.58,1.35,0.46,8.1,0.65,21700,1240,40,0.98
C134,75.919,-66.734,280.9,8,6.1,134,9.6,0.94,0.78,0.64,21.3,0.63,6100,1680,38,2.76
C135,75.944,-67.332,276.9,7.6,5.4,107,7.9,1.24,1.63,0.42,33.3,0.48,21900,1560,53,2.67
C136,75.97,-67.34,271,7.6,4.7,138,3.7,1.16,2.07,0.28,33.3,0.44,16500,1410,104,2.74
C137,75.971,-67.314,276.4,9.9,5.4,130,9.4,0.55,1.49,0.31,46.9,0.35,21500,860,127,3.56
C138,76.007,-67.36,275.7,10.9,7.3,36,14.3,0.6,0.43,1.1,6.1,0.8,2800,2490,26,0.83
C139,76.109,-66.847,277.1,5.9,4.4,142,,,0.52,0.79,4.4,0.72,0,0,36,0.97
C140,76.161,-70.903,228.7,8,5.8,93,9.1,0.52,2.62,0.28,32.8,0.24,64500,860,161,2.16
C141,76.193,-70.941,231.9,14.6,6,155,13.8,0.2,1.05,0.15,36.3,0.09,15700,390,253,2.76
C142,76.199,-66.823,281.3,11.1,7.6,27,14.9,0.38,2.14,0.09,66.8,0.04,71500,440,644,3.31
C143,76.214,-70.121,229.4,11,8,177,15.5,0.23,1.28,0.13,36,0.12,26500,340,318,2.31
C144,76.239,-71.002,234.1,12.5,7.5,174,15.9,0.34,1.17,0.43,22.4,0.53,22700,1060,128,1.36
C145,76.352,-66.925,282.9,12.5,5.4,136,11,0.67,0.9,0.79,12.1,0.86,9300,1470,24,2.06
C146,76.353,-66.898,280.3,14.3,8.8,18,19.2,0.34,1.35,0.39,43.9,0.3,36700,930,165,2.12
C147,76.389,-66.854,282.8,6.6,2,72,,,1.14,0.43,5,0.45,0,0,53,1.05
C148,76.907,-69.001,254.5,9.9,8.2,144,14.8,0.4,2.27,0.24,21.9,0.43,79000,630,115,1.22
C149,76.937,-68.979,249,8.1,5.4,70,8.2,1.21,0.75,0.88,10,0.7,4800,2210,27,1.23
C150,76.946,-68.953,251.4,9.7,7.1,144,13,0.65,1.98,0.54,45,0.56,52800,1480,103,1.31
C151,76.964,-69.012,264.4,8.1,5.9,155,9.4,0.44,2.05,0.26,26.9,0.19,41300,640,190,1.47
C152,77.052,-69.042,243.1,7.6,6,79,9.2,0.49,2.38,0.21,30.4,0.21,54400,680,221,1.53
C153,77.105,-69.345,226,6.1,3.3,3,,,1.27,0.47,9.6,0.44,0,0,42,2.22
C154,77.136,-69.348,229.2,9.7,4.9,26,7.1,0.51,1.41,0.42,29.8,0.46,14500,980,93,1.98
C155,77.146,-69.374,226.9,8.2,5,166,6.6,1.03,0.64,0.92,6.2,1.39,2800,2240,14,3.7
C156,77.166,-69.406,224.8,14.1,7.1,166,16.3,0.16,1.09,0.11,129.6,0.06,20000,270,435,5.4
C157,77.191,-69.072,248.2,7.9,1,51,,,1.09,0.73,8.4,0.42,0,0,55,1.32
C158,77.234,-68.795,275.1,5.4,4.7,132,2.6,1.32,0.7,0.53,3.2,0.73,1300,1730,38,0.94
C159,77.242,-68.733,244.7,8.8,6.1,52,10.4,0.36,1.74,0.12,39.6,0.06,32800,440,419,2.44
C160,77.29,-68.735,251.4,8.6,3.5,8,,,1.5,0.32,9.8,0.33,0,0,91,1.07
C161,77.343,-69.392,232.3,9.8,7.7,30,13.9,0.2,1.03,0.11,56.2,0.07,15200,320,364,4.75
C162,77.379,-69.396,225.7,4.8,2.5,63,,,1.03,0.33,9.4,0.53,0,0,62,1.87
C163,77.41,-69.172,239.8,8.1,6.7,96,10.9,0.26,1.21,0.14,23.6,0.08,16500,360,253,2.15
C164,77.449,-69.234,236.6,4.9,3.4,27,,,0.98,0.68,2.9,0.92,0,0,19,1.19
C165,77.465,-68.886,240.9,7.8,6.2,175,9.6,0.5,2.45,0.19,62.8,0.18,60200,650,322,2.89
C166,77.477,-69.227,239.1,8.5,6.2,89,10.3,0.71,0.44,0.63,12.3,0.51,2100,1440,70,1.12
C167,77.503,-69.22,242.1,12.6,4.4,110,,,0.73,0.36,12.2,0.33,0,0,91,1.26
C168,77.52,-69.433,227.3,15.8,7.9,102,18.7,0.16,1.26,0.15,42.1,0.11,30700,350,330,1.79
C169,77.529,-68.862,242.9,7.3,5.1,167,6.6,1.46,1.87,0.92,17.7,1.78,23900,2330,14,1.82
C170,77.538,-69.481,227,6.9,4.1,142,,,0.45,0.48,5.6,0.48,0,0,45,1.48
C171,77.554,-68.929,244,7.7,5.5,170,8.2,0.46,1.13,0.23,16,0.12,10800,560,146,2.22
C172,77.562,-68.88,242.6,17.4,6.1,103,15.6,0.65,1.65,0.73,24.8,1.16,43900,1420,26,1.73
C173,77.632,-68.888,239.8,12.4,5.8,100,12.2,0.44,1.51,0.3,34.8,0.44,29100,850,82,2.25
C174,77.644,-68.912,241.3,9.1,6,135,10.5,0.49,0.91,0.44,25.7,0.44,9200,940,83,2.53
C175,77.651,-68.986,235.8,4.4,4,140,,,0.94,0.31,9.6,0.38,0,0,69,1.98
C176,77.665,-68.853,241.1,6.6,5.7,29,7.5,0.69,1.58,0.21,17.1,0.16,19400,810,184,1.33
C177,77.789,-68.849,249.4,16.5,8,163,19.4,0.17,2.68,0.15,92.6,0.11,144800,320,383,3.47
C178,77.825,-68.896,248.2,10.9,6.6,132,13.1,0.95,0.75,0.66,12.4,0.74,7700,1600,19,1.4
C179,77.854,-69.012,231.1,13.1,5.1,119,9.6,0.46,1.11,0.49,26.3,0.45,12300,1060,90,1.34
C180,77.927,-69.012,234.2,19.2,9.1,122,23,0.24,1.43,0.19,42.1,0.18,48800,460,222,1.88
C181,77.936,-67.789,270.6,5.4,4.3,169,,,1.1,0.55,7,0.66,0,0,40,1.5
C182,77.945,-68.942,246.5,14.4,5.4,175,11.8,0.2,2.4,0.15,38.8,0.09,70700,350,353,2
C183,77.952,-67.826,273.3,10.4,7.9,42,14.7,0.32,1.4,0.33,24.1,0.22,29900,770,140,1.56
C184,77.953,-67.815,277.6,17.3,6.7,101,17.2,0.25,1.23,0.33,37,0.21,27100,700,232,1.85
C185,78.007,-67.177,289.4,11.6,9,75,17.3,0.33,1.29,0.27,73.7,0.23,30100,640,204,3.28
C186,78.036,-69.668,232,9.4,5.9,84,10.5,0.25,1.17,0.17,27.7,0.12,14900,440,228,2.17
C187,78.046,-67.159,287.6,9.9,6.1,108,11.3,0.6,1.5,0.5,40.4,0.66,26500,1210,103,2.36
C188,78.058,-70.504,235.2,12,4.3,149,,,0.69,0.25,17.5,0.29,0,0,122,2.97
C189,78.059,-67.755,274.7,5.6,4.8,117,4,1.43,1.67,0.43,14.5,0.38,11600,1810,85,1.22
C190,78.06,-70.463,232.7,15.4,4.4,20,,,1.16,0.24,48.4,0.15,0,0,195,2.55
C191,78.084,-69.11,237.1,6.1,5.3,112,6.3,0.87,1.36,0.43,9.8,0.58,12000,1250,85,1.17
C192,78.109,-69.598,230.5,8.7,6.8,5,11.5,0.47,2.45,0.28,47,0.33,71500,740,132,2.06
C193,78.124,-67.153,282.1,5.3,4.8,154,3.4,1.02,1,0.22,12.2,0.2,3500,1060,119,1.8
C194,78.128,-70.42,234.1,11.2,6,8,11.8,0.64,0.74,0.38,21.4,0.59,6700,1090,88,2.5
C195,78.15,-69.061,237.1,7.6,5.3,58,7.6,0.46,1.49,0.3,11.7,0.29,17600,820,127,1.36
C196,78.159,-68.222,283.2,9,6.5,179,11.4,0.35,1.27,0.22,28.8,0.17,19200,540,190,2.37
C197,78.163,-67.732,273,10.5,6.7,46,13,0.34,1.73,0.18,17.6,0.19,40500,570,173,1.6
C198,78.177,-69.038,233.4,8,3.2,5,,,1.4,0.57,4.3,0.88,0,0,36,1.25
C199,78.184,-68.161,283.1,8.8,5.7,67,9.6,0.42,1.42,0.16,22.6,0.2,20100,540,236,1.6
C200,78.235,-69.115,235,3.7,2.6,76,,,0.82,0.45,4.6,0.32,0,0,35,2.49
C201,78.237,-69.581,231.2,9.5,5.4,36,9,0.48,1.15,0.55,43.3,0.44,12500,1210,76,3.58
C202,78.244,-69.601,233.2,16.1,5.1,160,11.2,0.8,0.82,0.93,55.6,0.85,7700,2090,47,2.25
C203,78.271,-69.652,236,8,9.2,128,13.8,0.92,,,1.9,1.01,0,0,11,2.17
C204,78.276,-69.629,235.2,12.9,10.8,175,20.7,0.36,2.43,0.3,80.4,0.42,127200,670,97,2.58
C205,78.333,-69.609,232.2,9.1,4.1,54,,,1.59,0.28,56.4,0.45,0,0,112,2.51
C206,78.345,-67.482,288.3,9,6.9,48,12.1,0.28,1.34,0.16,20.1,0.11,22600,430,232,1.91
C207,78.349,-69.378,236.3,13.1,8.8,104,18.3,0.12,2.61,0.08,172.7,0.03,129700,230,1178,8.06
C208,78.435,-69.588,238.1,8.3,3.5,76,,,1.75,0.29,48,0.42,0,0,111,3.39
C209,78.462,-67.402,283.3,11.4,10.3,68,18.8,0.23,1.61,0.21,36.7,0.12,50300,500,326,1.83
C210,78.504,-69.604,239.2,21.7,6.5,82,18.9,0.24,1.59,0.26,118,0.27,49700,580,149,3.66
C211,78.527,-70.222,235.9,11.9,7.7,31,15.7,0.61,1.46,0.61,41.6,0.69,34700,1380,92,1.7
C212,78.628,-70.181,236.3,11.3,8.9,32,16.9,0.15,1.41,0.13,83.9,0.12,34900,290,379,3.22
C213,78.634,-68.782,266.2,12.7,7.6,136,16.1,0.22,1.54,0.13,61.9,0.07,39600,370,452,2.27
C214,78.647,-68.814,263.8,9.3,4.4,177,,,0.93,0.54,18.1,0.66,0,0,55,1.67
C215,78.649,-67.439,295.1,11.5,5.9,84,11.8,0.24,1.07,0.21,30.4,0.11,14100,490,294,1.93
C216,78.697,-70.588,217.8,8.8,7.4,125,12.5,0.58,0.99,0.73,25.1,0.39,12900,1680,101,2.01
C217,78.706,-70.563,219.5,7.3,5.9,165,8.6,0.6,0.62,0.79,7.6,0.7,3400,1650,59,1
C218,78.764,-70.563,218.1,8.1,6.1,60,9.8,0.45,1.46,0.27,22.3,0.38,21900,720,120,1.93
C219,78.851,-70.568,216.7,5.3,3.9,146,,,1.1,0.33,7.8,0.28,0,0,76,1.53
C220,78.923,-67.983,282.2,20.8,5.8,116,16.3,0.68,1.36,0.73,102.2,1.06,31200,1550,50,3.11
C221,78.944,-68.075,282.7,31.5,11.1,169,33.9,0.11,2.6,0.09,251,0.09,237100,260,1113,2.89
C222,78.955,-68.068,287.5,8.1,4.9,66,6,1.11,1.02,0.99,13.4,1.01,6500,2360,29,1.65
C223,78.975,-67.973,282.5,12.8,6.9,114,15,0.75,0.3,1.45,11.1,1.9,1400,2830,15,2.41
C224,78.99,-67.96,278.4,12.1,3.5,89,,,0.56,1.65,10.3,1.57,0,0,20,1.78
C225,79.013,-68.223,282.9,6.2,4.8,150,4.7,1.05,0.67,0.46,6.5,0.53,2200,1430,43,1.74
C226,79.036,-68.057,284.6,7.4,5.6,25,8,0.47,1.37,0.3,13.9,0.34,15600,780,116,1.71
C227,79.055,-67.969,281.4,5.9,5.7,78,6.7,1.71,2.59,1.15,65.2,2,46500,2690,34,2.48
C228,79.095,-68.249,281.9,13.2,7.6,141,16.4,0.38,1.88,0.42,31.3,0.34,60500,910,123,1.22
C229,79.113,-68.364,279.3,7.1,3.4,121,,,1.56,0.5,10.1,0.36,0,0,58,1.38
C230,79.131,-68.123,279.9,10.2,5.7,167,10.5,0.3,1.33,0.25,32.4,0.17,19200,530,243,1.99
C231,79.145,-68.221,277.3,17.4,6,9,15.3,0.16,1.66,0.1,89.9,0.07,44000,270,599,3.27
C232,79.152,-68.807,264.7,10.3,7.5,40,14,0.19,1.46,0.14,34.9,0.11,30900,370,368,2.02
C233,79.154,-69.385,240.6,14.6,6.2,146,14.6,0.18,0.87,0.19,30.5,0.13,11500,460,182,3.35
C234,79.161,-68.177,282.7,5.1,6.9,62,6.5,0.55,0.76,0.4,8.1,0.57,3900,1140,74,1.41
C235,79.204,-68.348,279.1,19.4,9.7,3,24.3,0.11,1.85,0.09,104.3,0.07,86400,230,828,2.58
C236,79.233,-68.347,221.1,15.4,1.2,1,,,0.15,1.6,4.9,0.95,0,0,44,1.21
C237,79.351,-71.236,223.7,20,8.3,149,22.1,0.13,2.34,0.17,70.9,0.09,126100,350,553,2.17
C238,79.372,-66.716,289.5,8.3,5.3,3,8.1,0.6,1.13,0.28,33.2,0.53,10800,800,109,2.49
